epoch,accuracy,auc,loss,lr,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.8596625924110413,0.9386856555938721,0.3222387135028839,1e-05,0.9617984294891357,0.8446451425552368,0.625,0.84375,1.103264331817627,0.5714285969734192,1.0
1,0.8759585618972778,0.9539861679077148,0.2825455963611603,1e-05,0.9689134359359741,0.8606451749801636,0.5,0.5,10.826150894165039,0.5,1.0
2,0.8717408180236816,0.955970048904419,0.2772271931171417,1e-05,0.9717481136322021,0.8521290421485901,0.5,0.5,15.377961158752441,0.5,1.0
3,0.8803681135177612,0.9562036991119385,0.2731550633907318,1e-05,0.97102290391922,0.8647741675376892,0.5,0.625,3.8690664768218994,0.5,1.0
4,0.8993481397628784,0.9644224047660828,0.24242927134037018,1e-05,0.9777524471282959,0.8846451640129089,0.5,0.5,17.603370666503906,0.5,1.0
5,0.887269914150238,0.9576761722564697,0.26893821358680725,1e-05,0.9729496240615845,0.8725161552429199,0.5,0.5,24.17984962463379,0.5,1.0
6,0.8888036608695984,0.9648239016532898,0.24387750029563904,5e-06,0.9796215295791626,0.8683871030807495,0.5,0.5,5.421189308166504,0.0,0.0
7,0.9081671833992004,0.9720994830131531,0.2169514298439026,5e-06,0.9804753661155701,0.8941935300827026,0.75,0.84375,0.5338919162750244,0.699999988079071,0.875
8,0.9070168733596802,0.971568763256073,0.21839630603790283,5e-06,0.9766591787338257,0.8962580561637878,0.5,0.5,5.647392749786377,0.5,1.0
9,0.9035659432411194,0.9705299139022827,0.22380903363227844,5e-06,0.9762712121009827,0.8918709754943848,0.5,0.5,8.117416381835938,0.0,0.0
10,0.9014570713043213,0.9687254428863525,0.22919143736362457,5e-06,0.9767376184463501,0.8885161280632019,0.5,0.5,6.577448844909668,0.0,0.0
11,0.9070168733596802,0.9724521636962891,0.2135004848241806,5e-06,0.9780033826828003,0.8949677348136902,0.5,0.5,19.523984909057617,0.5,1.0
12,0.912193238735199,0.9747776985168457,0.20605722069740295,5e-06,0.9814032316207886,0.8988386988639832,0.5,0.5,9.23946762084961,0.5,1.0
13,0.9192867875099182,0.9786924123764038,0.1869393289089203,2.5e-06,0.9815950989723206,0.9083871245384216,0.5,0.625,3.493464469909668,0.5,1.0
14,0.9120015501976013,0.9752557277679443,0.2025783509016037,2.5e-06,0.9778959155082703,0.9019354581832886,0.5,0.5,11.058746337890625,0.5,1.0
15,0.9196702241897583,0.9769452214241028,0.19319367408752441,2.5e-06,0.9824120402336121,0.9081290364265442,0.8125,0.984375,0.3227458894252777,0.7272727489471436,1.0
16,0.9175613522529602,0.976315975189209,0.1975812166929245,2.5e-06,0.9796714186668396,0.9078709483146667,0.5,0.5,6.3108673095703125,0.5,1.0
17,0.922737717628479,0.9767084717750549,0.1933155506849289,2.5e-06,0.9803541898727417,0.914322555065155,0.625,0.96875,1.0543034076690674,1.0,0.25
18,0.9206288456916809,0.9790030121803284,0.18485459685325623,2.5e-06,0.9805609583854675,0.9112257957458496,0.5625,0.9375,1.6743203401565552,0.5333333611488342,1.0
19,0.9219708442687988,0.9786241054534912,0.18655607104301453,2.5e-06,0.9803324341773987,0.9132903218269348,0.5,0.9375,1.9708187580108643,0.5,1.0
20,0.9225460290908813,0.9777516722679138,0.19065159559249878,2.5e-06,0.9798175096511841,0.9145806431770325,0.5,0.5,5.238919734954834,0.5,1.0
21,0.9219708442687988,0.9771440029144287,0.19295024871826172,1.25e-06,0.9787410497665405,0.9148387312889099,0.5625,0.96875,1.4852113723754883,1.0,0.125
22,0.9219708442687988,0.9801054000854492,0.18115673959255219,1.25e-06,0.9805986881256104,0.9130322337150574,0.5625,0.6875,2.957942485809326,0.5333333611488342,1.0
23,0.9296395778656006,0.9809919595718384,0.1761639565229416,1.25e-06,0.9821330308914185,0.9220645427703857,0.6875,0.90625,0.7630283236503601,0.6153846383094788,1.0
24,0.9288727045059204,0.9818325638771057,0.17183171212673187,1.25e-06,0.9839779138565063,0.919225811958313,0.5625,0.9296875,1.596095323562622,1.0,0.125
25,0.9302147030830383,0.9809459447860718,0.17423179745674133,1.25e-06,0.9818830490112305,0.923096776008606,0.5,0.5,4.577391624450684,0.0,0.0
